Période;IRL
2025-T4;145.78
2025-T3;145.77
2025-T2;146.68
2025-T1;145.47
2024-T4;144.64
2024-T3;144.51
2024-T2;145.17
2024-T1;143.46
2023-T4;142.06
2023-T3;141.03
2023-T2;140.59
2023-T1;138.61
2022-T4;137.26
2022-T3;136.27
2022-T2;135.84
2022-T1;133.93
2021-T4;132.62
2021-T3;131.67
2021-T2;131.12
2021-T1;130.69
2020-T4;130.52
2020-T3;130.59
2020-T2;130.57
2020-T1;130.57
2019-T4;130.26
2019-T3;129.99
2019-T2;129.72
2019-T1;129.38
2018-T4;129.03
2018-T3;128.45
2018-T2;127.77
2018-T1;127.22
2017-T4;126.82
2017-T3;126.46
2017-T2;126.19
2017-T1;125.9
2016-T4;125.5
2016-T3;125.33
2016-T2;125.25
2016-T1;125.26
2015-T4;125.28
2015-T3;125.26
2015-T2;125.25
2015-T1;125.19
2014-T4;125.29
2014-T3;125.24
2014-T2;125.15
2014-T1;125.0
2013-T4;124.83
2013-T3;124.66
2013-T2;124.44
2013-T1;124.25
2012-T4;123.97
2012-T3;123.55
2012-T2;122.96
2012-T1;122.37
2011-T4;121.68
2011-T3;120.95
2011-T2;120.31
2011-T1;119.69
2010-T4;119.17
2010-T3;118.7
2010-T2;118.26
2010-T1;117.81
2009-T4;117.47
2009-T3;117.41
2009-T2;117.59
2009-T1;117.7
2008-T4;117.54
2008-T3;117.03
2008-T2;116.07
2008-T1;115.12
2007-T4;114.3
2007-T3;113.68
2007-T2;113.37
2007-T1;113.07
2006-T4;112.77
2006-T3;112.43
2006-T2;111.98
2006-T1;111.47
2005-T4;111.01
2005-T3;110.57
2005-T2;110.08
2005-T1;109.64
2004-T4;109.2
2004-T3;108.72
2004-T2;108.28
2004-T1;107.8
2003-T4;107.49
2003-T3;107.06
2003-T2;106.61
2003-T1;106.17
2002-T4;105.61
