Date;Taux
31/12/2025;3,08
30/11/2025;3,1
31/10/2025;3,09
30/09/2025;3,09
31/08/2025;3,1
31/07/2025;3,09
30/06/2025;3,1
31/05/2025;3,11
30/04/2025;3,13
31/03/2025;3,2
28/02/2025;3,27
31/01/2025;3,32
31/12/2024;3,3
30/11/2024;3,38
31/10/2024;3,51
30/09/2024;3,56
31/08/2024;3,59
31/07/2024;3,64
30/06/2024;3,7
31/05/2024;3,83
30/04/2024;3,89
31/03/2024;3,94
29/02/2024;4,11
31/01/2024;4,17
31/12/2023;4,04
30/11/2023;3,99
31/10/2023;3,87
30/09/2023;3,73
31/08/2023;3,62
31/07/2023;3,43
30/06/2023;3,25
31/05/2023;3,08
30/04/2023;2,92
31/03/2023;2,72
28/02/2023;2,51
31/01/2023;2,31
31/12/2022;2,12
30/11/2022;1,96
31/10/2022;1,81
30/09/2022;1,7
31/08/2022;1,59
31/07/2022;1,45
30/06/2022;1,34
31/05/2022;1,25
30/04/2022;1,16
31/03/2022;1,11
28/02/2022;1,09
31/01/2022;1,07
31/12/2021;1,06
30/11/2021;1,07
31/10/2021;1,08
30/09/2021;1,09
31/08/2021;1,09
31/07/2021;1,08
30/06/2021;1,09
31/05/2021;1,1
30/04/2021;1,11
31/03/2021;1,14
28/02/2021;1,18
31/01/2021;1,2
31/12/2020;1,21
30/11/2020;1,24
31/10/2020;1,26
30/09/2020;1,28
31/08/2020;1,29
31/07/2020;1,27
30/06/2020;1,22
31/05/2020;1,17
30/04/2020;1,16
31/03/2020;1,17
29/02/2020;1,17
31/01/2020;1,15
31/12/2019;1,14
30/11/2019;1,16
31/10/2019;1,19
30/09/2019;1,24
31/08/2019;1,27
31/07/2019;1,31
30/06/2019;1,36
31/05/2019;1,41
30/04/2019;1,46
31/03/2019;1,48
28/02/2019;1,49
31/01/2019;1,48
31/12/2018;1,46
30/11/2018;1,47
31/10/2018;1,48
30/09/2018;1,49
31/08/2018;1,49
31/07/2018;1,5
30/06/2018;1,51
31/05/2018;1,52
30/04/2018;1,53
31/03/2018;1,53
28/02/2018;1,56
31/01/2018;1,58
31/12/2017;1,57
30/11/2017;1,6
31/10/2017;1,62
30/09/2017;1,61
31/08/2017;1,62
31/07/2017;1,59
30/06/2017;1,58
31/05/2017;1,56
30/04/2017;1,52
31/03/2017;1,48
28/02/2017;1,44
31/01/2017;1,38
31/12/2016;1,38
30/11/2016;1,43
31/10/2016;1,48
30/09/2016;1,58
31/08/2016;1,62
31/07/2016;1,67
30/06/2016;1,75
31/05/2016;1,88
30/04/2016;2,02
31/03/2016;2,12
29/02/2016;2,2
31/01/2016;2,27
31/12/2015;2,27
30/11/2015;2,29
31/10/2015;2,23
30/09/2015;2,17
31/08/2015;2,1
31/07/2015;2,08
30/06/2015;2,13
31/05/2015;2,18
30/04/2015;2,24
31/03/2015;2,34
28/02/2015;2,42
31/01/2015;2,49
31/12/2014;2,55
30/11/2014;2,66
31/10/2014;2,74
30/09/2014;2,82
31/08/2014;2,87
31/07/2014;2,93
30/06/2014;3,01
31/05/2014;3,07
30/04/2014;3,13
31/03/2014;3,15
28/02/2014;3,18
31/01/2014;3,19
31/12/2013;3,16
30/11/2013;3,17
31/10/2013;3,08
30/09/2013;3,07
31/08/2013;3,05
31/07/2013;3,05
30/06/2013;3,08
31/05/2013;3,14
30/04/2013;3,18
31/03/2013;3,25
28/02/2013;3,32
31/01/2013;3,34
31/12/2012;3,42
30/11/2012;3,48
31/10/2012;3,56
30/09/2012;3,65
31/08/2012;3,69
31/07/2012;3,75
30/06/2012;3,84
31/05/2012;3,92
30/04/2012;3,99
31/03/2012;4,1
29/02/2012;4,07
31/01/2012;3,99
31/12/2011;3,94
30/11/2011;3,94
31/10/2011;3,92
30/09/2011;3,92
31/08/2011;3,94
31/07/2011;3,89
30/06/2011;3,86
31/05/2011;3,79
30/04/2011;3,7
31/03/2011;3,61
28/02/2011;3,51
31/01/2011;3,46
31/12/2010;3,45
30/11/2010;3,49
31/10/2010;3,54
30/09/2010;-
31/08/2010;-
31/07/2010;-
30/06/2010;-
31/05/2010;-
30/04/2010;-
31/03/2010;-
28/02/2010;-
31/01/2010;-
31/12/2009;-
30/11/2009;-
31/10/2009;-
30/09/2009;-
31/08/2009;-
31/07/2009;-
30/06/2009;-
31/05/2009;-
30/04/2009;-
31/03/2009;-
28/02/2009;-
31/01/2009;-
31/12/2008;-
30/11/2008;-
31/10/2008;-
30/09/2008;-
31/08/2008;-
31/07/2008;-
30/06/2008;-
31/05/2008;-
30/04/2008;-
31/03/2008;-
29/02/2008;-
31/01/2008;-
31/12/2007;-
30/11/2007;-
31/10/2007;-
30/09/2007;-
31/08/2007;-
31/07/2007;-
30/06/2007;-
31/05/2007;-
30/04/2007;-
31/03/2007;-
28/02/2007;-
31/01/2007;-
31/12/2006;-
30/11/2006;-
31/10/2006;-
30/09/2006;-
31/08/2006;-
31/07/2006;-
30/06/2006;-
31/05/2006;-
30/04/2006;-
31/03/2006;-
28/02/2006;-
31/01/2006;-
31/12/2005;-
30/11/2005;-
31/10/2005;-
30/09/2005;-
31/08/2005;-
31/07/2005;-
30/06/2005;-
31/05/2005;-
30/04/2005;-
31/03/2005;-
28/02/2005;-
31/01/2005;-
31/12/2004;-
30/11/2004;-
31/10/2004;-
30/09/2004;-
31/08/2004;-
31/07/2004;-
30/06/2004;-
31/05/2004;-
30/04/2004;-
31/03/2004;-
29/02/2004;-
31/01/2004;-
31/12/2003;-
30/11/2003;-
31/10/2003;-
30/09/2003;-
31/08/2003;-
31/07/2003;-
30/06/2003;-
31/05/2003;-
30/04/2003;-
31/03/2003;-
28/02/2003;-
31/01/2003;-
